Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
16/01/1980_18:42:04        378.70125018          7.47687339
16/01/1980_19:42:04        379.70125018          7.46021167
16/01/1980_20:42:04        380.70125018          7.44374755
16/01/1980_21:42:04        381.70125018          7.42748889
16/01/1980_22:42:04        382.70125018          7.41143987
16/01/1980_23:42:04        383.70125018          7.39560440
17/01/1980_00:42:04        384.70125018          7.37995168
17/01/1980_01:42:04        385.70125018          7.36446471
17/01/1980_02:42:04        386.70125018          7.34913603
17/01/1980_03:42:04        387.70125018          7.33396360
17/01/1980_04:42:04        388.70125018          7.31895228
17/01/1980_05:42:04        389.70125018          7.30410747
17/01/1980_06:42:04        390.70125018          7.28943464
17/01/1980_07:42:04        391.70125018          7.27493710
17/01/1980_08:42:04        392.70125018          7.26061549
17/01/1980_09:42:04        393.70125018          7.24646731
17/01/1980_10:42:04        394.70125018          7.23248840
17/01/1980_11:42:04        395.70125018          7.21867242
17/01/1980_12:42:04        396.70125018          7.20501593
17/01/1980_13:42:04        397.70125018          7.19151298
17/01/1980_14:42:04        398.70125018          7.17816012
17/01/1980_15:42:04        399.70125018          7.16495265
17/01/1980_16:42:04        400.70125018          7.15188639
17/01/1980_17:42:04        401.70125018          7.13895698
17/01/1980_18:42:04        402.70125018          7.12616113
17/01/1980_19:42:04        403.70125018          7.11349466
17/01/1980_20:42:04        404.70125018          7.10095450
17/01/1980_21:42:04        405.70125018          7.08853850
17/01/1980_22:42:04        406.70125018          7.07624321
17/01/1980_23:42:04        407.70125018          7.06406631
18/01/1980_00:42:04        408.70125018          7.05206508
18/01/1980_01:42:04        409.70125018          7.04021195
18/01/1980_02:42:04        410.70125018          7.02848603
18/01/1980_03:42:04        411.70125018          7.01688781
18/01/1980_04:42:04        412.70125018          7.00541856
18/01/1980_05:42:04        413.70125018          6.99407694
18/01/1980_06:42:04        414.70125018          6.98286044
18/01/1980_07:42:04        415.70125018          6.97176872
18/01/1980_08:42:04        416.70125018          6.96079976
18/01/1980_09:42:04        417.70125018          6.94995067
18/01/1980_10:42:04        418.70125018          6.93921810
18/01/1980_11:42:04        419.70125018          6.92859898
18/01/1980_12:42:04        420.70125018          6.91808808
18/01/1980_13:42:04        421.70125018          6.90768112
18/01/1980_14:42:04        422.70125018          6.89736557
18/01/1980_15:42:04        423.70125018          6.88714130
18/01/1980_16:42:04        424.70125018          6.87700839
18/01/1980_17:42:04        425.70125018          6.86696367
18/01/1980_18:42:04        426.70125018          6.85700357
18/01/1980_19:42:04        427.70125018          6.84712457
18/01/1980_20:42:04        428.70125018          6.83732303
18/01/1980_21:42:04        429.70125018          6.82759633
18/01/1980_22:42:04        430.70125018          6.81794384
18/01/1980_23:42:04        431.70125018          6.80836331
19/01/1980_00:42:04        432.70125018          6.79959014
19/01/1980_01:42:04        433.70125018          6.79116394
19/01/1980_02:42:04        434.70125018          6.78284988
19/01/1980_03:42:04        435.70125018          6.77472997
19/01/1980_04:42:04        436.70125018          6.76682146
19/01/1980_05:42:04        437.70125018          6.75909931
19/01/1980_06:42:04        438.70125018          6.75152113
19/01/1980_07:42:04        439.70125018          6.74404333
19/01/1980_08:42:04        440.70125018          6.73663127
